"state","corn_price","soy_price","date"
"WISCONSIN",6.91,15.9,2022-05-01
"IOWA",6.5,14.2,2022-11-01
"MINNESOTA",6.28,13.8,2022-11-01
"WISCONSIN",6.08,14,2022-11-01
"IOWA",6.53,13.4,2022-10-01
"MINNESOTA",6.2,13.3,2022-10-01
"WISCONSIN",5.99,13.2,2022-10-01
"IOWA",7.42,14.2,2022-09-01
"MINNESOTA",7.13,13.9,2022-09-01
"WISCONSIN",7.12,14.1,2022-09-01
"IOWA",5.35,13.8,2021-04-01
"MINNESOTA",4.9,14,2021-04-01
"WISCONSIN",5.15,13.9,2021-04-01
"IOWA",6.38,13.7,2021-08-01
"MINNESOTA",6.13,13.4,2021-08-01
"WISCONSIN",6.17,14,2021-08-01
"IOWA",5.54,12.5,2021-12-01
"MINNESOTA",5.22,12.5,2021-12-01
"WISCONSIN",5.33,12.4,2021-12-01
"IOWA",4.87,12.7,2021-02-01
"MINNESOTA",4.57,13.1,2021-02-01
"WISCONSIN",4.74,13,2021-02-01
"IOWA",4.4,11.3,2021-01-01
"MINNESOTA",3.92,11.3,2021-01-01
"WISCONSIN",4.12,10.8,2021-01-01
"IOWA",6.22,14.4,2021-07-01
"MINNESOTA",5.69,13.9,2021-07-01
"WISCONSIN",6.04,14.2,2021-07-01
"IOWA",6.19,14.7,2021-06-01
"MINNESOTA",5.45,14.4,2021-06-01
"WISCONSIN",5.65,14.5,2021-06-01
"IOWA",4.89,13.3,2021-03-01
"MINNESOTA",4.73,13.6,2021-03-01
"WISCONSIN",4.75,13,2021-03-01
"IOWA",6.03,14.8,2021-05-01
"MINNESOTA",5.34,14.8,2021-05-01
"WISCONSIN",5.93,14.6,2021-05-01
"IOWA",5.23,12.2,2021-11-01
"MINNESOTA",5.19,12.1,2021-11-01
"WISCONSIN",5.06,12.1,2021-11-01
"IOWA",5.02,11.9,2021-10-01
"MINNESOTA",5,12,2021-10-01
"WISCONSIN",4.79,11.8,2021-10-01
"IOWA",5.63,12.3,2021-09-01
"MINNESOTA",5.65,12.1,2021-09-01
"WISCONSIN",5.82,11.9,2021-09-01
"IOWA",3.28,8.35,2020-04-01
"MINNESOTA",3.14,7.99,2020-04-01
"WISCONSIN",3.1,8.13,2020-04-01
"IOWA",3.08,8.64,2020-08-01
"MINNESOTA",2.85,8.55,2020-08-01
"WISCONSIN",3.02,8.57,2020-08-01
"IOWA",4.05,10.9,2020-12-01
"MINNESOTA",3.73,10.4,2020-12-01
"WISCONSIN",3.8,11.1,2020-12-01
"IOWA",3.74,8.56,2020-02-01
"MINNESOTA",3.58,7.84,2020-02-01
"WISCONSIN",3.66,8.45,2020-02-01
"IOWA",3.78,8.73,2020-01-01
"MINNESOTA",3.59,8.44,2020-01-01
"WISCONSIN",3.66,8.63,2020-01-01
"IOWA",3.14,8.48,2020-07-01
"MINNESOTA",3.04,8.3,2020-07-01
"WISCONSIN",3.05,8.36,2020-07-01
"IOWA",3.11,8.27,2020-06-01
"MINNESOTA",3.07,8.26,2020-06-01
"WISCONSIN",3.18,8.19,2020-06-01
"IOWA",3.64,8.43,2020-03-01
"MINNESOTA",3.49,7.46,2020-03-01
"WISCONSIN",3.51,8.3,2020-03-01
"IOWA",3.12,8.28,2020-05-01
"MINNESOTA",3.09,8.17,2020-05-01
"WISCONSIN",3.09,8.13,2020-05-01
"IOWA",3.82,10.3,2020-11-01
"MINNESOTA",3.58,9.91,2020-11-01
"WISCONSIN",3.57,10.4,2020-11-01
"IOWA",3.61,9.59,2020-10-01
"MINNESOTA",3.36,9.48,2020-10-01
"WISCONSIN",3.37,9.55,2020-10-01
"IOWA",3.39,9.24,2020-09-01
"MINNESOTA",2.95,9.02,2020-09-01
"WISCONSIN",3.26,9.12,2020-09-01
"IOWA",3.51,8.25,2019-04-01
"MINNESOTA",3.36,8.11,2019-04-01
"WISCONSIN",3.46,8.23,2019-04-01
"IOWA",3.91,8.28,2019-08-01
"MINNESOTA",3.71,8.09,2019-08-01
"WISCONSIN",3.89,8.25,2019-08-01
"IOWA",3.7,8.69,2019-12-01
"MINNESOTA",3.51,8.4,2019-12-01
"WISCONSIN",3.56,8.48,2019-12-01
"IOWA",3.54,8.38,2019-02-01
"MINNESOTA",3.41,8.38,2019-02-01
"WISCONSIN",3.46,8.48,2019-02-01
"IOWA",3.52,8.6,2019-01-01
"MINNESOTA",3.36,8.58,2019-01-01
"WISCONSIN",3.42,8.48,2019-01-01
"IOWA",4.11,8.38,2019-07-01
"MINNESOTA",3.88,8.31,2019-07-01
"WISCONSIN",3.98,8.31,2019-07-01
"IOWA",3.95,8.28,2019-06-01
"MINNESOTA",3.74,8.27,2019-06-01
"WISCONSIN",3.89,8.22,2019-06-01
"IOWA",3.57,8.46,2019-03-01
"MINNESOTA",3.47,8.57,2019-03-01
"WISCONSIN",3.54,8.61,2019-03-01
"IOWA",3.59,7.89,2019-05-01
"MINNESOTA",3.51,8.03,2019-05-01
"WISCONSIN",3.51,7.92,2019-05-01
"IOWA",3.64,8.5,2019-11-01
"MINNESOTA",3.48,8.49,2019-11-01
"WISCONSIN",3.52,8.39,2019-11-01
"IOWA",3.79,8.5,2019-10-01
"MINNESOTA",3.63,8.33,2019-10-01
"WISCONSIN",3.76,8.53,2019-10-01
"IOWA",3.72,8.14,2019-09-01
"MINNESOTA",3.57,8.41,2019-09-01
"WISCONSIN",3.69,8.17,2019-09-01
"IOWA",3.52,9.75,2018-04-01
"MINNESOTA",3.38,9.47,2018-04-01
"WISCONSIN",3.52,9.77,2018-04-01
"IOWA",3.27,8.38,2018-08-01
"MINNESOTA",3.21,8.7,2018-08-01
"WISCONSIN",3.35,8.7,2018-08-01
"IOWA",3.52,8.42,2018-12-01
"MINNESOTA",3.39,8.54,2018-12-01
"WISCONSIN",3.38,8.51,2018-12-01
"IOWA",3.33,9.36,2018-02-01
"MINNESOTA",3.12,9.24,2018-02-01
"WISCONSIN",3.34,9.43,2018-02-01
"IOWA",3.24,9.15,2018-01-01
"MINNESOTA",3.06,9.13,2018-01-01
"WISCONSIN",3.16,9.21,2018-01-01
"IOWA",3.41,9.15,2018-07-01
"MINNESOTA",3.32,8.75,2018-07-01
"WISCONSIN",3.43,9.3,2018-07-01
"IOWA",3.54,9.52,2018-06-01
"MINNESOTA",3.43,9.23,2018-06-01
"WISCONSIN",3.57,9.84,2018-06-01
"IOWA",3.43,9.64,2018-03-01
"MINNESOTA",3.37,9.91,2018-03-01
"WISCONSIN",3.46,9.8,2018-03-01
"IOWA",3.57,9.58,2018-05-01
"MINNESOTA",3.5,9.73,2018-05-01
"WISCONSIN",3.64,9.84,2018-05-01
"IOWA",3.4,8.49,2018-11-01
"MINNESOTA",3.26,8.36,2018-11-01
"WISCONSIN",3.36,8.28,2018-11-01
"IOWA",3.4,8.72,2018-10-01
"MINNESOTA",3.23,8.61,2018-10-01
"WISCONSIN",3.38,8.7,2018-10-01
"IOWA",3.29,8.44,2018-09-01
"MINNESOTA",3.1,8.32,2018-09-01
"WISCONSIN",3.29,8.92,2018-09-01
"IOWA",3.34,9.29,2017-04-01
"MINNESOTA",3.24,9.37,2017-04-01
"WISCONSIN",3.39,9.33,2017-04-01
"IOWA",3.19,9.05,2017-08-01
"MINNESOTA",3.07,8.88,2017-08-01
"WISCONSIN",3.32,9.34,2017-08-01
"IOWA",3.2,9.2,2017-12-01
"MINNESOTA",2.98,8.98,2017-12-01
"WISCONSIN",3.13,9.43,2017-12-01
"IOWA",3.39,9.71,2017-02-01
"MINNESOTA",3.25,9.52,2017-02-01
"WISCONSIN",3.36,9.86,2017-02-01
"IOWA",3.34,9.58,2017-01-01
"MINNESOTA",3.21,9.38,2017-01-01
"WISCONSIN",3.27,9.55,2017-01-01
"IOWA",3.4,9.32,2017-07-01
"MINNESOTA",3.3,9.29,2017-07-01
"WISCONSIN",3.45,9.41,2017-07-01
"IOWA",3.35,8.98,2017-06-01
"MINNESOTA",3.29,9.11,2017-06-01
"WISCONSIN",3.42,9.19,2017-06-01
"IOWA",3.43,9.58,2017-03-01
"MINNESOTA",3.31,9.56,2017-03-01
"WISCONSIN",3.42,9.75,2017-03-01
"IOWA",3.39,9.14,2017-05-01
"MINNESOTA",3.31,9.33,2017-05-01
"WISCONSIN",3.35,9.34,2017-05-01
"IOWA",3.14,9.21,2017-11-01
"MINNESOTA",2.92,9.07,2017-11-01
"WISCONSIN",3.12,9.4,2017-11-01
"IOWA",3.23,9.15,2017-10-01
"MINNESOTA",3.02,9.06,2017-10-01
"WISCONSIN",3.26,9.22,2017-10-01
"IOWA",3.21,9.18,2017-09-01
"MINNESOTA",2.99,9.08,2017-09-01
"WISCONSIN",3.25,9.27,2017-09-01
"IOWA",3.52,8.93,2016-04-01
"MINNESOTA",3.32,8.81,2016-04-01
"WISCONSIN",3.49,8.98,2016-04-01
"IOWA",3.08,9.77,2016-08-01
"MINNESOTA",3.04,9.76,2016-08-01
"WISCONSIN",3.12,9.84,2016-08-01
"IOWA",3.27,9.58,2016-12-01
"MINNESOTA",3.21,9.29,2016-12-01
"WISCONSIN",3.15,9.49,2016-12-01
"IOWA",3.48,8.36,2016-02-01
"MINNESOTA",3.31,8.12,2016-02-01
"WISCONSIN",3.44,8.55,2016-02-01
"IOWA",3.55,8.46,2016-01-01
"MINNESOTA",3.44,8.32,2016-01-01
"WISCONSIN",3.51,8.69,2016-01-01
"IOWA",3.55,10.1,2016-07-01
"MINNESOTA",3.47,10,2016-07-01
"WISCONSIN",3.52,10.3,2016-07-01
"IOWA",3.75,10,2016-06-01
"MINNESOTA",3.65,9.88,2016-06-01
"WISCONSIN",3.75,10.3,2016-06-01
"IOWA",3.46,8.46,2016-03-01
"MINNESOTA",3.24,8.16,2016-03-01
"WISCONSIN",3.43,8.53,2016-03-01
"IOWA",3.6,9.61,2016-05-01
"MINNESOTA",3.49,9.69,2016-05-01
"WISCONSIN",3.57,9.69,2016-05-01
"IOWA",3.2,9.36,2016-11-01
"MINNESOTA",3.1,9.25,2016-11-01
"WISCONSIN",3.16,9.38,2016-11-01
"IOWA",3.3,9.22,2016-10-01
"MINNESOTA",3.15,9.06,2016-10-01
"WISCONSIN",3.23,9.24,2016-10-01
"IOWA",3.08,9.33,2016-09-01
"MINNESOTA",2.96,9.14,2016-09-01
"WISCONSIN",3.13,9.34,2016-09-01
"IOWA",3.74,9.58,2015-04-01
"MINNESOTA",3.6,9.73,2015-04-01
"WISCONSIN",3.73,9.63,2015-04-01
"IOWA",3.67,9.49,2015-08-01
"MINNESOTA",3.46,9.65,2015-08-01
"WISCONSIN",3.67,9.57,2015-08-01
"IOWA",3.53,8.45,2015-12-01
"MINNESOTA",3.43,8.54,2015-12-01
"WISCONSIN",3.41,8.44,2015-12-01
"IOWA",3.8,9.84,2015-02-01
"MINNESOTA",3.63,9.74,2015-02-01
"WISCONSIN",3.75,10,2015-02-01
"IOWA",3.86,10.2,2015-01-01
"MINNESOTA",3.71,10.2,2015-01-01
"WISCONSIN",3.74,10.2,2015-01-01
"IOWA",3.78,10,2015-07-01
"MINNESOTA",3.65,9.74,2015-07-01
"WISCONSIN",3.78,9.79,2015-07-01
"IOWA",3.58,9.5,2015-06-01
"MINNESOTA",3.46,9.4,2015-06-01
"WISCONSIN",3.48,9.44,2015-06-01
"IOWA",3.83,9.76,2015-03-01
"MINNESOTA",3.66,9.52,2015-03-01
"WISCONSIN",3.72,9.72,2015-03-01
"IOWA",3.61,9.5,2015-05-01
"MINNESOTA",3.56,9.51,2015-05-01
"WISCONSIN",3.48,9.4,2015-05-01
"IOWA",3.53,8.58,2015-11-01
"MINNESOTA",3.42,8.52,2015-11-01
"WISCONSIN",3.42,8.36,2015-11-01
"IOWA",3.58,8.69,2015-10-01
"MINNESOTA",3.49,8.64,2015-10-01
"WISCONSIN",3.57,8.56,2015-10-01
"IOWA",3.57,8.83,2015-09-01
"MINNESOTA",3.42,8.73,2015-09-01
"WISCONSIN",3.58,8.62,2015-09-01
